proteinA_entrezid,proteinB_entrezid,databases
2932,4853,inweb
2932,11033,instruct|APID|biogrid|mint|intact|pina
4591,27185,intact
53,3358,bioplex
1312,7316,inweb
2908,8338,encode
2932,29959,instruct|APID|biogrid|mint|intact|pina
4673,27185,intact
2908,255403,encode
9821,27185,intact
7422,7423,instruct|APID|HIPPIE|intact|litbm17|bioplex|HINT-complex
3358,78987,mint|intact
3553,3556,interactome3d|instruct|innatedb|APID|signalink|HIPPIE|HINT-binary|intact|inweb
2668,25852,bioplex|HIPPIE
2908,64855,encode
2908,80344,encode
3358,116151,bioplex
2247,6285,interactome3d|instruct
8434,27185,hiunion
2908,404093,encode
3569,5885,encode
4128,23386,instruct
2260,3350,APID|biogrid|HIPPIE|intact|litbm17|inweb|pina
2908,116937,encode
10987,27185,intact
2932,51339,inweb
2289,4110,inweb
2670,120379,instruct|hiunion|APID|biogrid|HINT-binary|intact
4915,5295,pina|APID|signalink|biogrid
2289,57626,APID|intact|instruct
627,627,interactome3d|HIPPIE
2908,440712,encode
2260,4684,inweb|HINT-complex
2908,92667,encode
4128,54471,bioplex
22853,27185,intact
27185,55075,intact
7124,23476,inweb
2908,5468,innatedb|inweb
1813,23471,mint|intact
26011,27185,intact
2908,79039,pina|inweb
2932,7957,APID|biogrid|litbm17|inweb|pina
2908,8334,encode
6532,55108,qubic
27185,285025,pina|APID|intact|biogrid
1191,27185,instruct|APID|biogrid|HIPPIE|intact|pina
3553,5970,innatedb|signalink
1958,7124,innatedb
2647,2908,encode
2932,5144,inweb
2908,406891,signalink
2908,3148,inweb
7402,27185,instruct|APID|biogrid|HIPPIE|intact|pina
5116,27185,instruct|APID|HIPPIE|HINT-binary|intact|litbm17|inweb|pina
27185,51366,intact
19,27185,intact
7124,24145,intact|hiunion
5720,27185,intact
27185,126731,intact
2908,5318,signalink
4915,8878,inweb|HIPPIE|HINT-complex
3356,3358,intact
2908,170393,encode
3358,60561,bioplex
3458,150709,signalink
1813,2550,mint|intact
1312,7485,hiunion
2289,25989,bioplex|HIPPIE
1556,2908,encode
9126,27185,pina|APID|intact|biogrid
2908,6908,HIPPIE
10617,27185,intact
5987,27185,intact
2670,9118,bioplex
6532,9463,mint|APID|intact|inweb
2624,2908,encode|signalink
3872,4915,signalink
2670,26751,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|pina
6585,27185,intact
3885,27185,intact
163,27185,intact
23265,27185,APID|biogrid|HIPPIE|intact|pina
2908,9967,pina|APID|intact
2869,7124,KinomeNetX
2670,79696,instruct|hiunion|APID|biogrid|HINT-binary|intact
27185,85376,intact
10351,27185,intact
7124,10725,innatedb
3358,56262,bioplex
2932,23650,inweb
2908,81857,APID|biogrid|mint|intact|pina
2908,5321,HINT-binary|innatedb
3358,285598,bioplex
2908,5445,encode
2670,342574,intact|hiunion
2908,10607,encode
27185,84893,intact
2908,57478,encode
2908,79178,encode
27185,60492,intact
2305,2932,PhosphoSP
7307,7422,instruct|APID|biogrid|HINT-binary|intact|pina
4747,80125,biogrid|hiunion
1191,2908,pina|APID|intact
1646,2908,encode
1813,54872,mint|intact
2932,5909,KinomeNetX
2908,54883,encode
2113,3569,signalink
2289,6794,instruct|APID|HIPPIE|HINT-binary|intact|litbm17|inweb|bioplex|HINT-complex
8672,27185,intact
1808,2932,PhosphoSP|KinomeNetX
1453,2908,encode
2932,8321,CoFrac
2908,9401,encode
2932,150709,signalink
3358,91012,bioplex
2908,10013,inweb
7124,126364,intact|hiunion
2908,9777,encode
7422,8828,interactome3d|APID|HIPPIE|inweb|pina
4747,152206,intact|hiunion
4684,23385,bioplex
2908,5834,encode
7124,9919,pina|APID|intact
3358,55027,bioplex
1813,56650,mint|intact
2932,6197,PhosphoSP|KinomeNetX
1780,27185,bioplex
4848,27185,intact
8898,27185,intact
27018,27185,intact
2289,27161,HINT-binary|inweb
27185,55269,intact|hiunion
2668,57085,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
27185,401190,intact
2289,5567,bioplex
2289,9064,bioplex
8723,27185,intact
2932,6608,signalink
7124,51650,pina|APID|intact
2289,26260,APID|intact|instruct
4524,6610,bioplex|HIPPIE
2037,2908,pina|APID|intact
2670,89970,bioplex
405,7422,HINT-complex
2932,5300,innatedb
2908,3146,inweb
367,2915,signalink
1813,2316,instruct|signalink|HIPPIE|HINT-binary|inweb|HINT-complex
4915,93436,signalink
2908,7026,APID|litbm17|biogrid|inweb
627,4904,signalink
3326,4128,instruct
7124,8744,bioplex|HIPPIE
2908,10432,instruct|APID|biogrid|HIPPIE|pina
2932,3799,instruct|APID|biogrid|mint|intact|pina
2289,9641,inweb
1813,7018,mint|intact
7422,9510,inweb
2932,64837,PhosphoSP|KinomeNetX
406,9575,interactome3d|instruct|hiunion|APID|biogrid|HINT-binary|intact|litbm17|inweb|pina|bioplex|HINT-complex
6925,7422,innatedb
2908,54475,encode
3356,6197,pina|APID|intact
2932,79888,inweb
2915,9454,inweb
2932,11215,PhosphoSP|instruct|APID|biogrid|HIPPIE|litbm17|inweb|pina|HINT-complex
1385,3458,HINT-binary|innatedb|signalink
360,7124,intact|hiunion
2932,55299,instruct|APID|biogrid|mint|intact|pina
