gene_id,disease_name,disease_id,score,evidence_level
26191,"Diabetes Mellitus, Insulin-Dependent",C0011854,1,NA
4869,Acute myeloid leukemia,C0023467,1,NA
1080,Cystic Fibrosis,C0010674,1,NA
4155,Multiple Sclerosis,C0026769,1,NA
7490,Acute myeloid leukemia,C0023467,1,NA
51738,Adult-Onset Diabetes Mellitus,C0011860,1,NA
7124,Multiple Sclerosis,C0026769,1,NA
6934,Adult-Onset Diabetes Mellitus,C0011860,1,NA
7124,Asthma,C0004096,1,NA
1788,Acute myeloid leukemia,C0023467,1,NA
3717,Acute myeloid leukemia,C0023467,1,NA
2908,Asthma,C0004096,1,NA
4352,Thrombocytopenia,C0040034,1,NA
2629,Gaucher Disease,C0017205,1,NA
3553,Adult-Onset Diabetes Mellitus,C0011860,1,NA
7066,Thrombocytopenia,C0040034,1,NA
3569,Diabetes Mellitus,C0011849,1,NA
1401,Rheumatoid arthritis,C0003873,1,NA
9173,Asthma,C0004096,1,NA
2099,Endometrioses,C0014175,1,NA
177,Adult-Onset Diabetes Mellitus,C0011860,1,NA
338,Adult-Onset Diabetes Mellitus,C0011860,1,NA
7132,Multiple Sclerosis,C0026769,1,NA
3458,"Diabetes Mellitus, Insulin-Dependent",C0011854,1,NA
6927,Adult-Onset Diabetes Mellitus,C0011860,1,NA
596,Brill Symmers Disease,C0024301,1,NA
472,Chronic lymphocytic leukemia,C0023434,1,NA
3479,"Diabetes Mellitus, Insulin-Dependent",C0011854,1,NA
7450,Angiohemophilias,C0042974,1,NA
4297,Acute myeloid leukemia,C0023467,1,NA
3119,"Diabetes Mellitus, Insulin-Dependent",C0011854,1,NA
54901,Adult-Onset Diabetes Mellitus,C0011860,1,NA
114548,CINCA SYNDROME,C0409818,1,NA
3630,Diabetes Mellitus,C0011849,1,NA
2157,Hemophilia A,C0019069,1,NA
7124,Arthritic Psoriasis,C0003872,1,NA
3553,Rheumatoid arthritis,C0003873,1,NA
3456,Multiple Sclerosis,C0026769,1,NA
3123,Rheumatoid arthritis,C0003873,1,NA
861,Acute myeloid leukemia,C0023467,1,NA
596,Chronic lymphocytic leukemia,C0023434,1,NA
3375,Adult-Onset Diabetes Mellitus,C0011860,1,NA
169026,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3952,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3558,Rheumatoid arthritis,C0003873,1,NA
4893,Acute myeloid leukemia,C0023467,1,NA
3172,Adult-Onset Diabetes Mellitus,C0011860,1,NA
85480,Asthma,C0004096,1,NA
54790,Acute myeloid leukemia,C0023467,1,NA
6517,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3674,Thrombocytopenia,C0040034,1,NA
7124,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3605,Asthma,C0004096,1,NA
1401,Acute Coronary Syndrome,C0948089,1,NA
3586,Asthma,C0004096,1,NA
3643,Diabetes Mellitus,C0011849,1,NA
10320,ALL,C0023449,1,NA
9370,Adult-Onset Diabetes Mellitus,C0011860,1,NA
4846,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3990,Adult-Onset Diabetes Mellitus,C0011860,1,NA
2624,Acute myeloid leukemia,C0023467,1,NA
4627,Thrombocytopenia,C0040034,1,NA
26191,Rheumatoid arthritis,C0003873,1,NA
958,Multiple Sclerosis,C0026769,1,NA
208,Adult-Onset Diabetes Mellitus,C0011860,1,NA
2572,"Diabetes Mellitus, Insulin-Dependent",C0011854,1,NA
2155,"Deficiencies, Factor VII",C0015503,1,NA
2740,Adult-Onset Diabetes Mellitus,C0011860,1,NA
2629,"GAUCHER DISEASE, TYPE I",C1961835,1,NA
7124,Ulcerative colitis,C0009324,1,NA
154,Asthma,C0004096,1,NA
3458,Multiple Sclerosis,C0026769,1,NA
3596,Asthma,C0004096,1,NA
348,Diabetes Mellitus,C0011849,1,NA
6356,Asthma,C0004096,1,NA
3643,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3565,Asthma,C0004096,1,NA
2688,"Diabetes Mellitus, Insulin-Dependent",C0011854,1,NA
56729,Adult-Onset Diabetes Mellitus,C0011860,1,NA
5563,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3458,Rheumatoid arthritis,C0003873,1,NA
207,Adult-Onset Diabetes Mellitus,C0011860,1,NA
7124,"Diabetes Mellitus, Insulin-Dependent",C0011854,1,NA
