drugbank_id,entrez_id,disease_name
DB01156,3157,Major Depressive Disorder
DB01156,6319,Major Depressive Disorder
DB01156,8797,Major Depressive Disorder
DB01156,8795,Major Depressive Disorder
DB00215,196,Major Depressive Disorder
DB00215,2168,Major Depressive Disorder
DB00215,79153,Major Depressive Disorder
DB00215,3157,Major Depressive Disorder
DB00215,83729,Major Depressive Disorder
DB00215,26471,Major Depressive Disorder
DB00215,6319,Major Depressive Disorder
DB00215,12,Major Depressive Disorder
DB00215,6515,Major Depressive Disorder
DB00215,6876,Major Depressive Disorder
DB00472,1174,Major Depressive Disorder
DB00472,427,Major Depressive Disorder
DB00472,440,Major Depressive Disorder
DB00472,890,Major Depressive Disorder
DB00472,595,Major Depressive Disorder
DB00472,901,Major Depressive Disorder
DB00472,1026,Major Depressive Disorder
DB00472,1163,Major Depressive Disorder
DB00472,2123,Major Depressive Disorder
DB00472,2168,Major Depressive Disorder
DB00472,64838,Major Depressive Disorder
DB00472,2353,Major Depressive Disorder
DB00472,79153,Major Depressive Disorder
DB00472,3157,Major Depressive Disorder
DB00472,3249,Major Depressive Disorder
DB00472,83729,Major Depressive Disorder
DB00472,3725,Major Depressive Disorder
DB00472,54800,Major Depressive Disorder
DB00472,4047,Major Depressive Disorder
DB00472,8431,Major Depressive Disorder
DB00472,26471,Major Depressive Disorder
DB00472,5334,Major Depressive Disorder
DB00472,6319,Major Depressive Disorder
DB00472,12,Major Depressive Disorder
DB00472,6515,Major Depressive Disorder
DB00472,23657,Major Depressive Disorder
DB00472,6876,Major Depressive Disorder
DB00472,7157,Major Depressive Disorder
DB00472,7436,Major Depressive Disorder
DB00472,55062,Major Depressive Disorder
DB01221,1576,Bipolar Disorder
DB01356,22850,Bipolar Disorder
DB01356,207,Bipolar Disorder
DB01356,118429,Bipolar Disorder
DB01356,472,Bipolar Disorder
DB01356,581,Bipolar Disorder
DB01356,1396,Bipolar Disorder
DB01356,3576,Bipolar Disorder
DB01356,4921,Bipolar Disorder
DB01356,1843,Bipolar Disorder
DB01356,2353,Bipolar Disorder
DB01356,2354,Bipolar Disorder
DB01356,29923,Bipolar Disorder
DB01356,9454,Bipolar Disorder
DB01356,4929,Bipolar Disorder
DB01356,143,Bipolar Disorder
DB01356,5110,Bipolar Disorder
DB01356,5189,Bipolar Disorder
DB01356,5707,Bipolar Disorder
DB01356,28984,Bipolar Disorder
DB01356,5997,Bipolar Disorder
DB01356,8731,Bipolar Disorder
DB01356,8614,Bipolar Disorder
DB01356,6817,Bipolar Disorder
DB01356,7422,Bipolar Disorder
DB06148,2249,Major Depressive Disorder
DB06148,145258,Major Depressive Disorder
DB06148,3398,Major Depressive Disorder
DB06148,5578,Major Depressive Disorder
DB00370,3157,Major Depressive Disorder
DB00370,6319,Major Depressive Disorder
DB00370,6517,Major Depressive Disorder
DB00370,6518,Major Depressive Disorder
DB01149,545,Major Depressive Disorder
DB01149,27113,Major Depressive Disorder
DB01149,1649,Major Depressive Disorder
DB01149,2353,Major Depressive Disorder
DB01149,2309,Major Depressive Disorder
DB01149,3725,Major Depressive Disorder
DB01149,5111,Major Depressive Disorder
DB01149,5366,Major Depressive Disorder
DB00334,207,Major Depressive Disorder
DB00334,638,Major Depressive Disorder
DB00334,3156,Major Depressive Disorder
DB00334,3157,Major Depressive Disorder
DB00334,3949,Major Depressive Disorder
DB00334,6309,Major Depressive Disorder
DB00334,6517,Major Depressive Disorder
DB00334,7157,Major Depressive Disorder
DB00715,5743,Major Depressive Disorder
DB00715,6532,Major Depressive Disorder
DB00715,6774,Major Depressive Disorder
DB00285,5243,Major Depressive Disorder
DB00285,4363,Major Depressive Disorder
DB00285,54,Major Depressive Disorder
DB00285,79722,Major Depressive Disorder
DB00285,79658,Major Depressive Disorder
DB00285,339479,Major Depressive Disorder
DB00285,752,Major Depressive Disorder
DB00285,5655,Major Depressive Disorder
DB00285,9215,Major Depressive Disorder
DB00285,9388,Major Depressive Disorder
DB00285,4008,Major Depressive Disorder
DB00285,9961,Major Depressive Disorder
DB00285,4678,Major Depressive Disorder
DB00285,54888,Major Depressive Disorder
DB00285,80243,Major Depressive Disorder
DB00285,1104,Major Depressive Disorder
DB00285,6015,Major Depressive Disorder
DB00285,6299,Major Depressive Disorder
DB00285,6860,Major Depressive Disorder
DB00285,6938,Major Depressive Disorder
DB00285,90871,Major Depressive Disorder
DB00285,10206,Major Depressive Disorder
DB00285,55585,Major Depressive Disorder
DB00246,3156,Bipolar Disorder
DB00246,3157,Bipolar Disorder
DB00246,6309,Bipolar Disorder
DB00909,7054,Bipolar Disorder
